"school","male","math","langarts","daysabs"
"1","1",56.98883,42.45086,4
"1","1",37.09416,46.82059,4
"1","0",32.27546,43.56657,2
"1","0",29.05672,43.56657,3
"1","0",6.748048,27.24847,3
"1","0",61.65428,48.41482,13
"1","0",56.98883,40.73543,11
"1","1",10.39049,15.35938,7
"1","1",50.52795,52.11514,10
"1","1",49.47205,42.45086,9
"1","0",39.55739,36.45115,4
"1","1",33.73761,13.13055,5
"1","0",62.90584,62.27464,5
"1","0",65.56011,44.66451,3
"1","1",23.01052,25.25478,1
"1","1",75.83068,61.04388,0
"1","0",41.31353,49.47205,1
"1","0",41.88515,65.56011,0
"1","1",65.56011,46.82059,2
"1","1",13.13055,6.748048,24
"1","0",33.01677,42.45086,2
"1","1",55.88246,64.87473,0
"1","1",45.2079,55.33549,1
"1","1",56.98883,44.66451,0
"1","0",31.5115,38.34572,8
"1","1",52.64643,50,3
"1","1",17.25647,6.748048,7
"1","0",33.01677,40.15026,0
"1","1",61.04388,57.54914,2
"1","1",66.98323,71.82729,0
"1","1",1.007114,45.2079,0
"1","0",38.34572,35.12527,1
"1","1",44.66451,46.82059,3
"1","1",44.11754,46.82059,0
"1","1",59.84974,46.28556,0
"1","0",32.27546,47.35357,28
"1","1",23.01052,49.47205,8
"1","1",70.94328,61.04388,5
"1","1",1.007114,1.007114,2
"1","0",41.88515,52.11514,27
"1","0",40.15026,35.12527,5
"1","0",41.31353,38.34572,18
"1","0",44.66451,58.68647,19
"1","1",38.34572,42.45086,9
"1","1",32.27546,1.007114,9
"1","0",37.09416,32.27546,4
"1","1",63.54885,57.54914,2
"1","1",43.56657,41.31353,3
"1","1",33.01677,24.16932,9
"1","0",68.48849,59.26457,20
"1","1",29.05672,21.7637,6
"1","1",54.7921,54.7921,0
"1","1",48.94376,51.58518,27
"1","0",52.64643,50.52795,12
"1","0",13.13055,32.27546,34
"1","1",53.71444,41.88515,1
"1","1",15.35938,32.27546,25
"1","1",10.39049,17.25647,5
"1","0",34.43988,38.34572,3
"1","0",41.88515,42.45086,2
"1","1",40.73543,55.33549,1
"1","0",37.09416,52.64643,7
"1","1",26.2782,26.2782,4
"1","1",47.88486,36.45115,8
"1","0",38.95612,55.88246,6
"1","1",40.15026,47.35357,16
"1","0",36.45115,40.15026,3
"1","0",27.24847,39.55739,4
"1","0",39.55739,43.56657,3
"1","0",48.94376,36.45115,5
"1","1",62.27464,46.28556,0
"1","1",66.98323,59.84974,9
"1","1",28.17271,59.84974,0
"1","1",35.12527,37.09416,8
"1","0",52.64643,70.09472,0
"1","0",26.2782,35.12527,11
"1","1",41.31353,42.45086,4
"1","1",59.26457,71.82729,2
"1","1",1.007114,17.25647,35
"1","0",33.01677,41.88515,23
"1","0",40.73543,42.45086,13
"1","1",66.26239,64.87473,6
"1","0",70.94328,45.74812,0
"1","1",54.7921,60.44261,6
"1","1",64.20476,50.52795,0
"1","1",33.73761,40.15026,8
"1","0",49.47205,44.66451,11
"1","0",26.2782,73.72179,11
"1","1",70.94328,54.25188,4
"1","1",37.09416,41.31353,6
"1","0",37.09416,49.47205,23
"1","0",61.04388,69.27759,5
"1","1",86.86945,86.86945,5
"1","0",61.04388,64.20476,26
"1","0",23.01052,6.748048,7
"1","1",27.24847,35.12527,1
"1","1",32.27546,46.82059,9
"1","1",24.16932,17.25647,11
"1","1",45.74812,50,18
"1","1",6.748048,13.13055,12
"1","1",35.12527,27.24847,3
"1","1",43.01117,28.17271,0
"1","1",26.2782,13.13055,4
"1","1",10.39049,29.05672,10
"1","1",61.04388,66.26239,16
"1","0",37.09416,51.58518,1
"1","0",1.007114,1.007114,9
"1","0",55.88246,45.2079,3
"1","1",46.82059,38.34572,0
"1","1",41.88515,56.98883,9
"1","1",66.26239,35.79525,14
"1","0",10.39049,38.95612,7
"1","1",33.01677,40.15026,3
"1","1",36.45115,20.40919,10
"1","1",46.82059,65.56011,12
"1","0",48.41482,34.43988,6
"1","0",41.88515,41.88515,35
"1","0",20.40919,25.25478,13
"1","0",73.72179,74.74522,3
"1","1",10.39049,40.15026,10
"1","1",17.25647,20.40919,6
"1","1",75.83068,64.87473,0
"1","1",26.2782,23.01052,2
"1","1",70.94328,82.74353,6
"1","1",76.98948,68.48849,5
"1","0",61.65428,58.11485,13
"1","0",28.17271,6.748048,4
"1","0",45.2079,48.94376,5
"1","0",56.98883,65.56011,3
"1","0",41.31353,48.94376,30
"1","0",47.35357,46.82059,16
"1","0",38.34572,43.01117,15
"1","0",10.39049,6.748048,12
"1","1",41.88515,36.45115,1
"1","1",40.15026,38.95612,1
"1","1",33.73761,35.79525,7
"1","0",68.48849,52.64643,1
"1","0",98.99289,64.20476,45
"1","0",62.90584,43.01117,10
"1","1",60.44261,36.45115,3
"1","0",37.09416,10.39049,27
"1","0",26.2782,33.01677,2
"1","0",64.87473,53.71444,13
"1","0",18.91984,29.05672,2
"1","1",54.7921,47.88486,5
"1","0",38.34572,38.95612,5
"1","0",53.71444,52.11514,4
"1","0",46.82059,51.58518,3
"1","0",51.58518,71.82729,20
"1","0",34.43988,40.15026,12
"1","0",38.34572,44.66451,31
"1","1",44.66451,40.73543,6
"1","1",49.47205,31.5115,14
"1","0",43.56657,46.82059,13
"1","1",39.55739,49.47205,6
"1","0",33.01677,47.35357,12
"1","1",20.40919,29.05672,12
"1","1",43.01117,34.43988,0
"1","1",51.58518,43.56657,1
"2","0",39.55739,50.52795,4
"2","1",53.71444,1.007114,0
"2","1",53.71444,38.95612,0
"2","1",54.7921,64.20476,2
"2","0",38.34572,54.7921,1
"2","0",45.2079,71.82729,2
"2","1",61.65428,58.68647,0
"2","0",54.7921,50,0
"2","1",61.65428,54.7921,0
"2","0",61.04388,58.68647,7
"2","1",65.56011,66.26239,2
"2","0",61.04388,71.82729,9
"2","0",73.72179,55.33549,6
"2","1",54.7921,51.58518,4
"2","1",58.11485,58.11485,1
"2","0",37.72536,46.82059,7
"2","1",65.56011,70.09472,0
"2","1",58.11485,68.48849,0
"2","0",62.90584,71.82729,4
"2","1",98.99289,55.33549,2
"2","0",53.71444,66.98323,0
"2","0",65.56011,50,4
"2","0",53.71444,65.56011,2
"2","0",48.41482,29.05672,18
"2","0",35.12527,52.11514,1
"2","1",70.94328,70.94328,0
"2","0",62.90584,65.56011,1
"2","1",68.48849,58.68647,16
"2","0",51.05624,41.31353,6
"2","0",64.20476,67.72454,16
"2","1",58.11485,78.2363,0
"2","0",46.82059,42.45086,8
"2","1",46.82059,52.64643,1
"2","0",66.98323,86.86945,2
"2","0",32.27546,51.05624,3
"2","0",29.05672,29.05672,4
"2","0",98.99289,42.45086,2
"2","0",61.65428,84.64062,4
"2","1",47.88486,37.09416,7
"2","0",53.71444,56.98883,0
"2","0",59.26457,51.58518,1
"2","0",73.72179,93.25195,1
"2","0",61.04388,51.58518,0
"2","0",33.01677,45.2079,13
"2","0",39.55739,41.31353,1
"2","1",56.98883,62.27464,0
"2","0",46.82059,47.88486,1
"2","1",41.31353,44.66451,0
"2","0",65.56011,71.82729,1
"2","0",82.74353,98.99289,0
"2","0",45.2079,44.11754,1
"2","0",59.26457,61.04388,0
"2","0",55.88246,56.98883,2
"2","1",69.27759,79.59081,0
"2","0",56.98883,59.26457,1
"2","1",56.98883,47.35357,0
"2","0",65.56011,62.27464,4
"2","1",47.88486,51.05624,3
"2","1",20.40919,40.15026,1
"2","0",55.88246,81.08016,0
"2","0",61.65428,60.44261,1
"2","0",58.11485,68.48849,4
"2","0",45.2079,47.35357,1
"2","1",29.05672,32.27546,9
"2","0",33.73761,59.84974,0
"2","1",53.71444,40.15026,4
"2","0",50.52795,53.71444,8
"2","1",63.54885,54.25188,13
"2","1",45.2079,48.94376,0
"2","1",73.72179,56.43343,0
"2","1",59.26457,49.47205,0
"2","0",98.99289,69.27759,0
"2","0",56.98883,74.74522,2
"2","0",58.11485,58.11485,5
"2","0",61.65428,86.86945,1
"2","1",65.56011,66.98323,0
"2","0",59.26457,56.98883,0
"2","0",66.98323,63.54885,1
"2","0",32.27546,50,2
"2","1",70.94328,73.72179,1
"2","1",37.72536,37.72536,5
"2","0",32.27546,29.90528,3
"2","1",36.45115,32.27546,1
"2","0",64.20476,71.82729,3
"2","0",56.98883,71.82729,6
"2","1",44.11754,24.16932,8
"2","1",40.15026,40.15026,21
"2","1",28.17271,30.72241,1
"2","0",52.64643,79.59081,7
"2","0",40.15026,44.66451,5
"2","1",41.31353,40.15026,1
"2","0",59.26457,89.60951,1
"2","0",45.2079,46.82059,0
"2","1",45.2079,53.17941,4
"2","0",38.34572,55.33549,0
"2","1",46.28556,55.33549,14
"2","0",65.56011,51.05624,2
"2","0",51.58518,65.56011,2
"2","0",46.82059,68.48849,2
"2","1",50.52795,43.01117,0
"2","1",59.26457,55.33549,1
"2","1",49.47205,43.01117,19
"2","0",43.01117,46.82059,2
"2","1",58.11485,71.82729,11
"2","1",46.28556,70.94328,0
"2","0",48.94376,53.71444,5
"2","0",98.99289,56.98883,13
"2","0",41.31353,50.52795,0
"2","1",73.72179,82.74353,5
"2","1",64.20476,65.56011,3
"2","0",53.71444,51.58518,2
"2","1",55.88246,98.99289,2
"2","1",62.90584,56.98883,5
"2","0",61.04388,71.82729,0
"2","0",98.99289,98.99289,3
"2","1",62.90584,54.7921,0
"2","1",58.68647,60.44261,1
"2","1",53.71444,35.12527,9
"2","1",65.56011,44.11754,1
"2","1",51.58518,40.15026,0
"2","1",62.90584,62.27464,0
"2","1",70.94328,58.11485,1
"2","1",70.09472,48.41482,12
"2","0",65.56011,62.27464,3
"2","1",46.82059,65.56011,0
"2","0",66.98323,51.58518,1
"2","1",51.58518,59.26457,5
"2","0",46.28556,64.20476,1
"2","1",47.88486,58.68647,1
"2","0",41.88515,58.11485,7
